STATE,group,X,Y
AZ,2793,-111.8640965041827,33.48515862775537
AZ,2826,-109.72451460916001,32.71707314404983
AZ,3357,-111.52006846837413,32.81769579307967
AZ,3508,-110.77430997816913,33.39250667763636
AZ,3565,-109.3652435337648,34.50187452374969
AZ,3566,-114.6224496013787,32.72466802296787
AZ,3788,-111.9374916678233,33.426154768923325
AZ,3789,-112.3440687717301,33.435046496687036
AZ,3850,-111.32591462503561,34.231472214689234
AZ,3862,-110.48030879131902,33.3599020614066
AZ,4157,-112.11943849323674,33.70669655682802
AZ,4195,-110.8562397588292,32.08957049633845
AZ,4197,-112.16538237280811,33.83331005165082
AZ,4198,-110.86471146209841,32.08268702790402
AZ,4270,-111.38329559171092,33.06404993950872
AZ,4314,-111.32644411331897,33.03691875162754
AZ,4315,-109.59122987746052,31.462428301565534
AZ,4316,-110.71078484080209,33.41639353739571
AZ,4317,-111.37072807659898,33.028169510183005
AZ,4318,-112.65146280225673,33.20852414768366
AZ,4319,-112.43776582813389,33.47038657858694
AZ,4320,-112.02503993369982,33.45312989972037
AZ,4321,-109.94674981671453,32.62320682392309
AZ,4322,-109.56363964568627,32.828101497461674
AZ,4323,-109.39072241785152,34.32083054125543
AZ,4324,-110.86631217381054,32.06640100168118
AZ,4325,-110.72108914224243,34.98471625787562
AZ,4326,-114.63971525497979,32.48750190076798
AZ,4327,-114.17960966124451,35.028914974457415
AZ,4328,-111.52393314885354,32.81138334804023
AZ,4329,-111.24121605723249,32.417910319033304
CA,633,-117.87958779319064,33.74961482485284
CA,654,-117.69820221441327,33.6645276373523
CA,660,-117.8873408656075,33.78189703880232
CA,684,-121.30157845517502,38.8084128092817
CA,690,-120.90782411432127,39.933423381885305
CA,692,-116.22151682273699,33.714129489429666
CA,693,-117.3742952003122,33.97878769889713
CA,695,-121.49749030631132,38.5829873681484
CA,700,-121.42332506304578,38.306399316872174
CA,722,-121.41166941146702,36.884019302732305
CA,726,-117.45762529226714,34.547502155792714
CA,727,-117.52915047719074,34.08118901259912
CA,729,-116.92109164397867,32.59007535390739
CA,736,-116.9733819099493,32.84211270481334
CA,737,-117.08028421413145,32.63648673497911
CA,747,-117.16518221521167,32.71558330695431
CA,756,-117.25692822875605,33.191856691788225
CA,777,-122.40453670173432,37.77535671777187
CA,797,-122.46036256287344,37.62744097279581
CA,801,-122.40447004983574,37.75575801931914
CA,807,-121.29789076432883,37.885109846536764
CA,818,-120.72679142626832,35.320709739800975
CA,823,-120.71574744398296,35.32008468862769
CA,828,-122.23166612207872,37.48771498114333
CA,845,-122.21912359468494,37.492715325326685
CA,860,-119.77687839407541,34.44548182743713
CA,869,-120.44654682746618,34.88209978880424
CA,882,-121.90826094341877,37.4185735396791
CA,891,-121.90612711156615,37.3512387393984
CA,922,-121.80975972391296,36.913820826247004
CA,929,-122.02375334503148,36.98036599485009
CA,937,-122.3961983701579,40.58134111025154
CA,948,-120.83026440157944,39.55889782137644
CA,958,-121.99982001405003,38.2742599676072
CA,988,-122.72637774302291,38.467281009183104
CA,1003,-122.80191308728081,38.513064280966965
CA,1012,-120.98761945036324,37.58469172337501
CA,1032,-122.63942281113017,41.73061852989262
CA,1049,-122.94610479064477,40.736517508887715
CA,1069,-119.31714995857173,36.32812612135199
CA,1078,-119.32099470006519,36.455864187780556
CA,1108,-120.38613709029921,37.98418710104275
CA,1118,-119.11220945395945,34.30928593603894
CA,1119,-119.20927538323171,34.26940988860286
CA,1125,-121.58689477149626,39.141179516197866
CA,1135,-117.32269879781235,34.512877960560516
CA,1360,-118.08776063962324,33.75270984098043
CA,1366,-114.59791339322005,33.61324438842183
CA,1374,-118.18841160120758,33.97910744077163
CA,1443,-117.93886373307615,34.07130466442869
CA,1444,-117.90419025536093,33.66337430031001
CA,1454,-124.20082671395228,41.753102538333756
CA,1460,-120.8236357162261,38.723911759141686
CA,1466,-118.20510044381639,33.95672114515073
CA,1476,-119.78982024809105,36.73797710718279
CA,1480,-118.49079223623522,34.01221467677458
CA,1481,-118.03462367221496,33.97496527671739
CA,1482,-124.16156606192818,40.8029736278962
CA,1484,-115.56359236992513,32.747234288384455
CA,1485,-122.20033062643468,39.519593455424655
CA,1486,-118.19379071558913,36.79894336597471
CA,1491,-117.9969573492459,33.864134567259455
CA,1497,-119.11039921970577,35.51085533171607
CA,1498,-119.01775467717991,35.37251491298874
CA,1500,-118.38832350679586,33.844874971912105
CA,1506,-119.66769216386075,36.33273132491526
CA,1507,-118.23080516844732,34.05940333037841
CA,1508,-122.91333000570258,39.10417489839519
CA,1509,-118.22748821015226,33.9280832900567
CA,1510,-118.60223932292935,34.467589428563144
CA,1512,-120.03497359238564,36.95420892904017
CA,1518,-122.53252445942587,37.99950426984429
CA,1520,-118.2186323093165,33.97966331271298
CA,1525,-119.98767003598422,37.50000358774719
CA,1537,-123.22020435510957,39.16039411859056
CA,1538,-120.5377592174117,37.18942010547055
CA,1540,-120.48381361041146,37.30717479033259
CA,1541,-122.28427594897913,38.29671363749858
CA,1546,-120.54072090873173,41.483803440308236
CA,1547,-121.6302079619129,36.699116798759476
CA,1548,-119.22818827361304,38.25699650015776
CA,1551,-121.02790388585446,39.26867323036589
CA,2068,-122.13224601937658,38.01736383365602
CA,2072,-119.2590577629112,35.495318066943824
CA,2094,-119.44146787999054,35.13415778011945
CA,2108,-119.30429085325092,35.765640319287535
CA,2123,-117.91905930309198,33.83019210289891
CA,2169,-118.00088530038275,33.677626500938274
CA,2193,-117.59681333347653,34.02929605829528
CA,2226,-122.09690661305068,37.65752960101879
CA,2250,-122.27711483135342,37.800184809422795
CA,2254,-118.1448108099337,34.149185735859234
CA,2264,-117.92818641571719,33.87085843520557
CA,2292,-118.03026351670101,34.07158043396855
CA,2326,-121.57450622961296,39.52949746146901
CA,2329,-120.76936230595454,38.3514591704275
CA,2330,-120.66538821805662,38.19353618924881
CA,2331,-122.00325941647779,39.205571786416925
CA,2340,-122.27328174185168,37.87020999969955
CA,2403,-122.35365902450086,37.99540734329419
CA,2499,-118.35318367048744,33.91960154362289
CA,2500,-118.12853422397161,33.94069852854507
CA,2505,-118.11638105178451,34.020795915884754
CA,2529,-117.95972580387183,34.08542320365987
CA,2530,-121.96818604648217,37.55219822685363
CA,2541,-118.23087236754206,34.00459441557384
CA,2610,-121.86505370881486,37.8944241103727
CA,2638,-118.03970863754111,34.13664247695528
CA,2653,-117.9066006696301,34.13484710053227
CA,2661,-118.39985494738741,34.073707404892815
CA,2662,-117.72245587015856,34.09623305322276
CA,2679,-122.0316923974496,37.9708703890732
CA,2680,-118.39508559688105,34.02076424222871
CA,2682,-117.99925660984738,34.147895966880235
CA,2685,-118.17245189752619,33.806802192194226
CA,2827,-117.3679766335618,34.5671016009315
CA,2939,-122.04014117703538,37.3704065673349
CA,2942,-118.1260141111658,34.05910589729623
CA,2975,-118.16252761701023,35.046426190695954
CA,2989,-118.33065860787893,34.0957704719027
